"id","name","link","address","rating","reviews","price_min","price_max"
524,"Residence Zineb","https://www.tripadvisor.com/Hotel_Review-g293732-d16843469-Reviews-Residence_Zineb-Casablanca_Casablanca_Settat.html","6 Rue Abdeslam Khattabi, Casablanca 20250 Morocco","0",0,NULL,NULL
525,"Hotel d'Orsay","https://www.tripadvisor.com/Hotel_Review-g293732-d5558530-Reviews-Hotel_d_Orsay-Casablanca_Casablanca_Settat.html","17 Rue Mohamed Diouri, Casablanca 20110 Morocco","0",0,NULL,NULL
529,"Mon Casablanca","https://www.tripadvisor.com/Hotel_Review-g293732-d21380520-Reviews-Mon_Casablanca-Casablanca_Casablanca_Settat.html","20 Rue Abou Rouous, Casablanca 20250 Morocco","0",0,NULL,NULL
530,"Casa Apartments City Center","https://www.tripadvisor.com/Hotel_Review-g293732-d16676205-Reviews-Casa_Apartments_City_Center-Casablanca_Casablanca_Settat.html","Rue Mohamed El Faidouzi, Casablanca 20340 Morocco","0",0,NULL,NULL
531,"Villa HL","https://www.tripadvisor.com/Hotel_Review-g293732-d12691459-Reviews-Villa_HL-Casablanca_Casablanca_Settat.html","Rue 11 n. 24 Lot Ard Nakhla Californie, Casablanca 12000 Morocco","0",0,NULL,NULL
532,"Residence Val d'Anfa","https://www.tripadvisor.com/Hotel_Review-g293732-d13434779-Reviews-Residence_Val_d_Anfa-Casablanca_Casablanca_Settat.html","10 Rue Boukraa Avenu Moulay Youssef Avenue, Casablanca 20500 Morocco","0",0,NULL,NULL
533,"La Holly","https://www.tripadvisor.com/Hotel_Review-g293732-d16855437-Reviews-La_Holly-Casablanca_Casablanca_Settat.html","Boulevard Mohamed V 25B, Casablanca 20250 Morocco","0",0,NULL,NULL
534,"New Hotel","https://www.tripadvisor.com/Hotel_Review-g293732-d25286984-Reviews-New_Hotel-Casablanca_Casablanca_Settat.html","10 Rue Calavon, Angle Bd Abdelmoumen, Casablanca, Casablanca Morocco","0",0,"110","132"
535,"Casahome","https://www.tripadvisor.com/Hotel_Review-g293732-d13282230-Reviews-Casahome-Casablanca_Casablanca_Settat.html","Bim Forida Sidi Maarouf, Casablanca 20000 Morocco","0",0,NULL,NULL
536,"Vivo","https://www.tripadvisor.com/Hotel_Review-g293732-d26842119-Reviews-Vivo-Casablanca_Casablanca_Settat.html","Via Pian della Genna Airport Casablanca, Casablanca 22000 Morocco","0",0,"46","48"
537,"Perla la Colline Chambre Familiale","https://www.tripadvisor.com/Hotel_Review-g293732-d13976175-Reviews-Perla_la_Colline_Chambre_Familiale-Casablanca_Casablanca_Settat.html","1 Bd Laymoune - Oulfa, Casablanca 20232 Morocco","0",0,"13","13"
538,"Hôtel Windsor City Center","https://www.tripadvisor.com/Hotel_Review-g293732-d26790615-Reviews-Hotel_Windsor_City_Center-Casablanca_Casablanca_Settat.html","Bd d'Anfa, Casablanca 22000 Morocco","0",0,NULL,NULL
539,"Casablanca Beach Center","https://www.tripadvisor.com/Hotel_Review-g293732-d20145374-Reviews-Casablanca_Beach_Center-Casablanca_Casablanca_Settat.html","Boulevard Sour Jdid 151 Etage 1, Casablanca 20160 Morocco","0",0,NULL,NULL
540,"Cosy Greeny T4 Near Train And Trawway","https://www.tripadvisor.com/Hotel_Review-g293732-d27929208-Reviews-Cosy_Greeny_T4_Near_Train_And_Trawway-Casablanca_Casablanca_Settat.html","Casablanca Morocco","0",0,NULL,NULL
541,"Cosy Apartment Casablanca","https://www.tripadvisor.com/Hotel_Review-g293732-d17753372-Reviews-Cosy_Apartment_Casablanca-Casablanca_Casablanca_Settat.html","Rue Prosper Maarif, Casablanca 20250 Morocco","0",0,NULL,NULL
542,"Holiday Home Casablanca","https://www.tripadvisor.com/Hotel_Review-g293732-d15324154-Reviews-Holiday_Home_Casablanca-Casablanca_Casablanca_Settat.html","Rue Kortoba Pres De La Poste, Casablanca 20000 Morocco","0",0,NULL,NULL
543,"Anfa Gauthier","https://www.tripadvisor.com/Hotel_Review-g293732-d16802216-Reviews-Anfa_Gauthier-Casablanca_Casablanca_Settat.html","5 Rue Washington, Casablanca 20000 Morocco","0",0,NULL,NULL
544,"Appartement Aznavour","https://www.tripadvisor.com/Hotel_Review-g293732-d20850493-Reviews-Appartement_Aznavour-Casablanca_Casablanca_Settat.html","46 Avenue Oued Daoura Lotiss, Haj Fateh BP, Casablanca 20250 Morocco","0",0,"13","27"
545,"Guest House Face Hotel Imperial","https://www.tripadvisor.com/Hotel_Review-g293732-d19976322-Reviews-Guest_House_Face_Hotel_Imperial-Casablanca_Casablanca_Settat.html","Boulevard Mohamed V En Face Hotel Imperial, Casablanca 20250 Morocco","0",0,NULL,NULL
546,"Maison Traditionnelle","https://www.tripadvisor.com/Hotel_Review-g293732-d17649323-Reviews-Maison_Traditionnelle-Casablanca_Casablanca_Settat.html","6 Rue Ahl Fes Quartier Habous, Casablanca 20490 Morocco","0",0,NULL,NULL
547,"Appartement Au Centre","https://www.tripadvisor.com/Hotel_Review-g293732-d17482014-Reviews-Appartement_Au_Centre-Casablanca_Casablanca_Settat.html","149 Boulevard Hassan Segher Immeuble C No.18, Casablanca 90020 Morocco","0",0,NULL,NULL
548,"massage center","https://www.tripadvisor.com/Hotel_Review-g293732-d23654181-Reviews-Massage_center-Casablanca_Casablanca_Settat.html","Boulevard du 11janvier etg 4 appt n ° 10, Casablanca 20250 Morocco","0",0,NULL,NULL
549,"The Hotel Syracuse","https://www.tripadvisor.com/Hotel_Review-g293732-d27738105-Reviews-The_Hotel_Syracuse-Casablanca_Casablanca_Settat.html","Sidi Belyout, Casablanca 20500 Morocco","0",0,NULL,NULL
550,"2 Mars Luxury Residence","https://www.tripadvisor.com/Hotel_Review-g293732-d21324325-Reviews-2_Mars_Luxury_Residence-Casablanca_Casablanca_Settat.html","6 Rue Abdessalam Elkattabi Residence Zineb, Casablanca 20300 Morocco","0",0,NULL,NULL
551,"Hotel Bresil","https://www.tripadvisor.com/Hotel_Review-g293732-d5540146-Reviews-Hotel_Bresil-Casablanca_Casablanca_Settat.html","18 Rue de Rabat, Casablanca 20000 Morocco","0",0,NULL,NULL
552,"Hotel Balmoral","https://www.tripadvisor.com/Hotel_Review-g293732-d5540144-Reviews-Hotel_Balmoral-Casablanca_Casablanca_Settat.html","9 Rue Allal El Fassi, Casablanca 20130 Morocco","0",0,NULL,NULL
553,"Hotel Residence du Parc","https://www.tripadvisor.com/Hotel_Review-g293732-d5539997-Reviews-Hotel_Residence_du_Parc-Casablanca_Casablanca_Settat.html","295 Rue Mostapha El Maani, Casablanca 20140 Morocco","0",0,NULL,NULL
554,"Hotel Mirecourt","https://www.tripadvisor.com/Hotel_Review-g293732-d5539995-Reviews-Hotel_Mirecourt-Casablanca_Casablanca_Settat.html","18 Rue Du Nil, Casablanca 20140 Morocco","0",0,NULL,NULL
555,"Hotel de Venise","https://www.tripadvisor.com/Hotel_Review-g293732-d5539924-Reviews-Hotel_de_Venise-Casablanca_Casablanca_Settat.html","4 Rue Rahal Nichakra, Casablanca 20110 Morocco","0",0,NULL,NULL
556,"Residence Al Amane","https://www.tripadvisor.com/Hotel_Review-g293732-d23084248-Reviews-Residence_Al_Amane-Casablanca_Casablanca_Settat.html","Boulevard Moulay Youssef, Casablanca 20040 Morocco","0",0,"70","74"
557,"Maria Appart Hotel","https://www.tripadvisor.com/Hotel_Review-g293732-d17467483-Reviews-Maria_Appart_Hotel-Casablanca_Casablanca_Settat.html","171 Boulevard de la Resistance, Casablanca 20000 Morocco","0",0,NULL,NULL
558,"Riad Immo","https://www.tripadvisor.com/Hotel_Review-g293732-d7827564-Reviews-Riad_Immo-Casablanca_Casablanca_Settat.html","Quartier Bourgogne Boulevard 3 AV cémitiere RES Horizon GH2 B Bourgogne, Casablanca 20100 Morocco","0",0,NULL,NULL
559,"Chambre Privee","https://www.tripadvisor.com/Hotel_Review-g293732-d23392534-Reviews-Chambre_Privee-Casablanca_Casablanca_Settat.html","124, Lotissement Nassim, Residence Meriem, Appt 3, Casablanca 22190 Morocco","0",0,NULL,NULL
