"id","name","link","menu_link","rating","reviews","price"
31,"La Koutoubia","https://www.tripadvisor.com/Restaurant_Review-g293736-d2454628-Reviews-La_Koutoubia-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",186,"$$ - $$$"
32,"Sun Five Cafe","https://www.tripadvisor.com/Restaurant_Review-g293736-d23614680-Reviews-Sun_Five_Cafe-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",40,"$$ - $$$"
33,"Relais De Paris Du Diwan","https://www.tripadvisor.com/Restaurant_Review-g293736-d8340539-Reviews-Relais_De_Paris_Du_Diwan-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",156,"$$ - $$$"
34,"La Bodega","https://www.tripadvisor.com/Restaurant_Review-g293736-d2012747-Reviews-La_Bodega-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",59,"$$ - $$$"
35,"Le 40","https://www.tripadvisor.com/Restaurant_Review-g293736-d27928911-Reviews-Le_40-Rabat_Rabat_Sale_Kenitra.html","https://www.le40.ma/menu","5",12,"$"
36,"Le Safran","https://www.tripadvisor.com/Restaurant_Review-g293736-d7390995-Reviews-Le_Safran-Rabat_Rabat_Sale_Kenitra.html","https://www.story-rabat.com/wp-content/uploads/2022/05/LE-SAFRAN-Business-Lunch-22522-Seasonal-Menu-2022-1.pdf","4.5",62,"$$$$"
37,"Yamal Acham","https://www.tripadvisor.com/Restaurant_Review-g293736-d2025036-Reviews-Yamal_Acham-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",358,"$$ - $$$"
38,"EL Bahia","https://www.tripadvisor.com/Restaurant_Review-g293736-d3589746-Reviews-EL_Bahia-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",246,"$"
39,"Le Goeland","https://www.tripadvisor.com/Restaurant_Review-g293736-d1083692-Reviews-Le_Goeland-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",80,"$$$$"
116,"MAYA RESTAURANT & LOUNGE","https://www.tripadvisor.com/Restaurant_Review-g293736-d20142628-Reviews-MAYA_RESTAURANT_LOUNGE-Rabat_Rabat_Sale_Kenitra.html","http://maya.menu/mobile-menu/","3.5",10,NULL
40,"Blue Berry Hay Riad","https://www.tripadvisor.com/Restaurant_Review-g293736-d28030879-Reviews-Blue_Berry_Hay_Riad-Rabat_Rabat_Sale_Kenitra.html","https://qrious.aflip.in/dca41c6575.html","5",10,"$"
41,"Dar Rbatia","https://www.tripadvisor.com/Restaurant_Review-g293736-d1948691-Reviews-Dar_Rbatia-Rabat_Rabat_Sale_Kenitra.html","https://darrbatia.com/menu-restaurant/","4",390,"$$ - $$$"
42,"Coq Magic","https://www.tripadvisor.com/Restaurant_Review-g293736-d1958502-Reviews-Coq_Magic-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",158,"$"
43,"Le Bistrot du Pietri","https://www.tripadvisor.com/Restaurant_Review-g293736-d1994866-Reviews-Le_Bistrot_du_Pietri-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",259,"$$ - $$$"
44,"Le Limonadier","https://www.tripadvisor.com/Restaurant_Review-g293736-d12615360-Reviews-Le_Limonadier-Rabat_Rabat_Sale_Kenitra.html","http://www.lelimonadier.com#menu","4.5",98,"$$$$"
45,"Gotham the burger city","https://www.tripadvisor.com/Restaurant_Review-g293736-d10777394-Reviews-Gotham_the_burger_city-Rabat_Rabat_Sale_Kenitra.html","https://www.tripadvisor.fr/ManagePhotos-g293736-d10777394-Gotham_the_burger_city-Rabat_Rabat_Sale_Zemmour_Zaer_Region.html#/managePhotos/management?action=&lightboxPhoto=377028245","4.5",113,"$"
46,"Picolo's","https://www.tripadvisor.com/Restaurant_Review-g293736-d2235381-Reviews-Picolo_s-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",244,"$$ - $$$"
